"","NAME","SIZE","MILK","SERVING_SIZE_ml","CALORIES","TOTAL_FAT_g","SATURATED_FAT_g","TRANS_FAT_g","CHOLESTEROL_mg","SODIUM_mg","TOTAL_CARB_g","DIETARY_FIBER_g","SUGAR_g","PROTEIN_g","CALCIUM_mg","CALCIUM_pcdv","IRON_mg","IRON_pcdv","CAFFEINE_mg"
"103","Mocha Swirl Iced Latte with Skim Milk ","Small","Nonfat","354",170,0.5,0,0,5,105,35,1,32,7,238,0.18,1,0.06,118
"104","Mocha Swirl Iced Latte with Whole Milk ","Large","Whole","946",440,13,7,0,35,220,69,2,63,13,442,0.34,2,0.11,252
"105","Mocha Swirl Iced Latte with Whole Milk ","Medium","Whole","709",330,10,6,0,25,160,52,2,47,10,330,0.25,1,0.06,166
"106","Mocha Swirl Iced Latte with Whole Milk ","Small","Whole","354",220,6,3.5,0,20,110,35,1,32,7,221,0.17,1,0.06,118
"107","Signature Caramel Craze Iced Latte with Skim Milk ","Large","Nonfat","946",430,6,3.5,0,30,250,79,0,75,16,586,0.45,0,0,252
"108","Signature Caramel Craze Iced Latte with Skim Milk ","Medium","Nonfat","709",340,5,3,0,25,190,61,0,57,12,442,0.34,0,0,166
"109","Signature Caramel Craze Iced Latte with Skim Milk ","Small","Nonfat","354",250,5,3,0,20,130,43,0,40,8,303,0.23,0,0,118
"110","Signature Caramel Craze Iced Latte with Whole Milk ","Large","Whole","946",530,17,10,0.5,60,250,79,0,74,15,551,0.42,0,0,252
"111","Signature Caramel Craze Iced Latte with Whole Milk ","Medium","Whole","709",410,14,8,0,45,190,61,0,57,11,416,0.32,0,0,166
"112","Signature Caramel Craze Iced Latte with Whole Milk ","Small","Whole","354",300,11,6,0,35,130,43,0,39,8,285,0.22,0,0,118
"113","Signature Cocoa Mocha Iced Latte with Skim Milk ","Large","Nonfat","946",420,6,4,0,25,220,78,2,69,15,495,0.38,2,0.11,252
"114","Signature Cocoa Mocha Iced Latte with Skim Milk ","Medium","Nonfat","709",330,6,3.5,0,20,160,60,2,52,11,373,0.29,2,0.11,166
"115","Signature Cocoa Mocha Iced Latte with Skim Milk ","Small","Nonfat","354",250,5,3.5,0,20,115,43,1,36,8,255,0.2,1,0.06,118
"116","Signature Cocoa Mocha Iced Latte with Whole Milk ","Large","Whole","946",520,18,11,0.5,55,220,77,2,68,14,460,0.35,2,0.11,252
"117","Signature Cocoa Mocha Iced Latte with Whole Milk ","Medium","Whole","709",400,14,9,0,45,170,60,2,52,10,347,0.27,2,0.11,166
"118","Signature Cocoa Mocha Iced Latte with Whole Milk ","Small","Whole","354",300,11,7,0,35,115,42,1,36,7,238,0.18,1,0.06,118
"119","Caramel Swirl Iced Coffee ","Large",NA,"946",230,0,0,0,5,85,52,0,51,3,123,0.09,0,0,396
"120","Caramel Swirl Iced Coffee ","Medium",NA,"709",170,0,0,0,5,65,39,0,38,3,92,0.07,0,0,297
"121","Caramel Swirl Iced Coffee ","Small",NA,"354",110,0,0,0,0,45,26,0,26,2,62,0.05,0,0,198
"122","Caramel Swirl Iced Coffee with Cream ","Large","Cream","946",340,12,6,0,40,130,53,0,53,5,177,0.14,0,0,396
"123","Caramel Swirl Iced Coffee with Cream ","Medium","Cream","709",260,9,4.5,0,30,95,40,0,40,4,132,0.1,0,0,297
"124","Caramel Swirl Iced Coffee with Cream ","Small","Cream","354",170,6,3,0,20,65,27,0,26,3,89,0.07,0,0,198
"125","French Vanilla Swirl Iced Coffee ","Large",NA,"946",220,0,0,0,5,80,51,0,49,3,104,0.08,0,0,396
"126","French Vanilla Swirl Iced Coffee ","Medium",NA,"709",170,0,0,0,5,60,38,0,37,2,77,0.06,0,0,297
"127","French Vanilla Swirl Iced Coffee ","Small",NA,"354",110,0,0,0,0,40,26,0,24,2,52,0.04,0,0,198
"128","French Vanilla Swirl Iced Coffee with Cream ","Large","Cream","946",340,12,6,0,40,120,53,0,50,5,157,0.12,0,0,396
"129","French Vanilla Swirl Iced Coffee with Cream ","Medium","Cream","709",250,9,4.5,0,30,90,40,0,38,4,118,0.09,0,0,297
"130","French Vanilla Swirl Iced Coffee with Cream ","Small","Cream","354",170,6,3,0,20,60,26,0,25,2,79,0.06,0,0,198
"131","Hazelnut Swirl Iced Coffee ","Large",NA,"946",220,0,0,0,5,80,51,0,49,3,104,0.08,0,0,396
"132","Hazelnut Swirl Iced Coffee ","Medium",NA,"709",170,0,0,0,5,60,38,0,37,2,77,0.06,0,0,297
"133","Hazelnut Swirl Iced Coffee ","Small",NA,"354",110,0,0,0,0,40,26,0,24,2,53,0.04,0,0,198
"134","Hazelnut Swirl Iced Coffee with Cream ","Large","Cream","946",340,12,6,0,40,120,53,0,50,5,157,0.12,0,0,396
"135","Hazelnut Swirl Iced Coffee with Cream ","Medium","Cream","709",250,9,4.5,0,30,90,40,0,38,4,118,0.09,0,0,297
"136","Hazelnut Swirl Iced Coffee with Cream ","Small","Cream","354",170,6,3,0,20,60,27,0,25,2,79,0.06,0,0,198
"137","Iced Coffee ","Large",NA,"946",5,0,0,0,0,20,0,0,0,1,21,0.02,0,0,396
"138","Iced Coffee ","Medium",NA,"709",5,0,0,0,0,15,0,0,0,0,15,0.01,0,0,297
"139","Iced Coffee ","Small",NA,"354",5,0,0,0,0,10,0,0,0,0,11,0.01,0,0,198
