menu_item,size,cals,price
Caffè Latte,Venti,250,4.75
Starbucks Blonde Vanilla Latte,Short,130,3.85
Starbucks Blonde Vanilla Latte,Tall,200,3.95
Starbucks Blonde Vanilla Latte,Grande,250,4.75
Starbucks Blonde Vanilla Latte,Venti,320,5.25
Caramel Macchiato,Short,120,4.35
Caramel Macchiato,Tall,190,4.45
Caramel Macchiato,Grande,250,4.95
Caramel Macchiato,Venti,310,5.25
Espresso Macchiato,Solo,10,2.55
Espresso Macchiato,Doppio,15,2.75
Espresso Macchiato,Triple,20,3.05
Espresso Macchiato,Quad,25,3.35
Caffè Mocha,Short,200,3.95
Caffè Mocha,Tall,290,4.15
Caffè Mocha,Grande,370,4.65
Caffè Mocha,Venti,450,4.95
White Chocolate Mocha,Short,230,4.55
White Chocolate Mocha,Tall,340,4.65
White Chocolate Mocha,Grande,430,4.95
White Chocolate Mocha,Venti,530,5.45
