NAME,SIZE,CALS,PRICE
Iced French Vanilla latte,S,160,2
Iced French Vanilla latte,M,200,2.79
Iced French Vanilla latte,L,300,3.19
Cappuccino,S,120,2
Cappuccino,M,160,2.79
Cappuccino,L,210,3.19
Vanilla Cappuccino,S,190,2
Vanilla Cappuccino,M,230,2.79
Vanilla Cappuccino,L,310,3.19
Hazelnut Cappuccino,S,200,2
Hazelnut Cappuccino,M,240,2.79
Hazelnut Cappuccino,L,320,3.19
Caramel Cappuccino,S,210,2
Caramel Cappuccino,M,260,2.79
Caramel Cappuccino,L,340,3.19
Americano,S,5,2
Americano,M,5,2.59
Americano,L,5,2.99
Strawberry Banana Smoothie,S,190,2
Strawberry Banana Smoothie,M,240,3.19
Strawberry Banana Smoothie,L,330,3.59
Mango Pineapple Smoothie,S,200,2
Mango Pineapple Smoothie,M,250,3.19
Mango Pineapple Smoothie,L,340,3.59
Fruit Punch Slushie Minute Maid,S,170,1.59
Fruit Punch Slushie Minute Maid,M,210,1.79
Fruit Punch Slushie Minute Maid,L,300,1.99
Blue Raspberry Slushie Minute Maid,S,190,1.59
Blue Raspberry Slushie Minute Maid,M,240,1.79
Blue Raspberry Slushie Minute Maid,L,340,1.99
Pink Lemonade Slushie Minute Maid,S,190,1.59
Pink Lemonade Slushie Minute Maid,M,250,1.79
Pink Lemonade Slushie Minute Maid,L,350,1.99
Sweet Iced Tea,XS,70,0.99
Sweet Iced Tea,S,100,1.19
Sweet Iced Tea,M,130,1.29
Sweet Iced Tea,L,170,1.29
Hot Tea,S,10,1
Hot Tea,M,0,1.19
Hot Tea,L,15,1.39
Unsweetened Iced Tea,XS,0,0.99
Unsweetened Iced Tea,S,0,1.19
Unsweetened Iced Tea,M,0,1.29
Unsweetened Iced Tea,L,0,1.29
Minute Maid Orange Juice,S,150,1.89
Minute Maid Orange Juice,M,200,2.29
Minute Maid Orange Juice,L,280,2.69
Milk,,100,0.99
Chocolate Milk,,130,0.99
French Fries,S,220,1.79
French Fries,M,320,2.79
French Fries,L,490,3.59
Iced Turtle Coffee,S,190,1.69
Iced Turtle Coffee,M,250,1.69
Iced Turtle Coffee,L,310,1.69
