drink,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),Weight Watchers Pnts
Nonfat Hazelnut Latte (Large),260,0,0,0,0,5,135,55,0,55,10,305
Nonfat Vanilla Cappuccino (Small),150,0,0,0,0,5,70,34,0,34,5,179
Nonfat Vanilla Cappuccino (Medium),190,0,0,0,0,5,90,42,0,42,6,226
Nonfat Vanilla Cappuccino (Large),230,0,0,0,0,5,100,51,0,51,7,274
Nonfat Vanilla Latte (Small),180,0,0,0,0,5,95,37,0,37,7,210
Nonfat Vanilla Latte (Medium),220,0,0,0,0,5,115,46,0,46,9,257
Nonfat Vanilla Latte (Large),260,0,0,0,0,5,135,55,0,55,10,305
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),50,0,0,0,0,5,100,15,0,8,5,53
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70,0,0,0,0,5,130,19,0,10,7,73
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),80,0,0,0,0,5,150,22,0,11,8,83
Nonfat Latte with Sugar Free Vanilla Syrup (Small),80,0,0,0,0,5,130,18,0,11,7,84
Nonfat Latte with Sugar Free Vanilla Syrup (Medium),90,0,0,0,0,5,160,22,0,13,9,94
Nonfat Latte with Sugar Free Vanilla Syrup (Large),110,0,0,0,0,5,190,27,0,15,11,114
Mocha with Nonfat Milk (Small),240,45,5,3,0,5,130,41,0,34,7,270
Mocha with Nonfat Milk (Medium),280,50,6,3.5,0,10,160,50,0,42,8,317.5
Mocha with Nonfat Milk (Large),330,50,6,3.5,0,10,190,58,0,50,10,373.5
Hot Chocolate with Nonfat Milk (Small),250,45,5,3,0,10,140,43,0,37,8,282
Hot Chocolate with Nonfat Milk (Medium),310,50,6,3.5,0,10,190,55,0,47,11,349.5
Hot Chocolate with Nonfat Milk (Large),390,50,6,3.5,0,10,250,68,0,59,16,436.5
Iced Nonfat Latte (Small),50,0,0,0,0,5,70,7,0,7,5,52
Iced Nonfat Latte (Medium),60,0,0,0,0,5,90,9,0,9,6,63
Iced Nonfat Latte (Large),70,0,0,0,0,5,105,11,0,11,7,74
Iced Nonfat Caramel Latte (Small),140,0,0,0,0,0,105,30,0,30,3,167
Iced Nonfat Caramel Latte (Medium),150,0,0,0,0,5,120,32,0,32,5,177
Iced Nonfat Caramel Latte (Large),190,0,0,0,0,5,150,40,0,40,6,224
Iced Nonfat Hazelnut Latte (Small),140,0,0,0,0,0,50,32,0,32,3,169
Iced Nonfat Hazelnut Latte (Medium),150,0,0,0,0,5,70,33,0,33,5,178
Iced Nonfat Hazelnut Latte (Large),190,0,0,0,0,5,80,42,0,42,6,226
Iced Nonfat Vanilla Latte (Small),140,0,0,0,0,0,50,31,0,31,3,168
Iced Nonfat Vanilla Latte (Medium),150,0,0,0,0,5,70,33,0,33,5,178
Iced Nonfat Vanilla Latte (Large),190,0,0,0,0,5,85,41,0,41,6,225
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),40,0,0,0,0,0,85,13,0,5,4,41
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),50,0,0,0,0,5,100,14,0,6,5,51
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),60,0,0,0,0,5,130,19,0,8,6,62
