"","NAME","SIZE","MILK","SERVING_SIZE_ml","CALORIES","TOTAL_FAT_g","SATURATED_FAT_g","TRANS_FAT_g","CHOLESTEROL_mg","SODIUM_mg","TOTAL_CARB_g","DIETARY_FIBER_g","SUGAR_g","PROTEIN_g","CALCIUM_mg","CALCIUM_pcdv","IRON_mg","IRON_pcdv","CAFFEINE_mg"
"86","Iced Latte with AlmondMilk ","Large","Almond","946",130,3.5,0,0,0,260,23,1,20,2,715,0.55,1,0.06,NA
"87","Iced Latte with AlmondMilk ","Medium","Almond","709",100,3,0,0,0,190,17,1,15,1,536,0.41,1,0.06,NA
"88","Iced Latte with AlmondMilk ","Small","Almond","354",70,2,0,0,0,130,11,0,10,1,358,0.28,1,0.06,NA
"89","Iced Latte with Skim Milk ","Large","Nonfat","946",130,0,0,0,5,180,20,0,18,12,465,0.36,0,0,NA
"90","Iced Latte with Skim Milk ","Medium","Nonfat","709",100,0,0,0,5,135,15,0,14,9,348,0.27,0,0,NA
"91","Iced Latte with Skim Milk ","Small","Nonfat","354",70,0,0,0,5,90,10,0,9,6,233,0.18,0,0,NA
"92","Iced Latte with Skim Milk and Sugar ","Large","Nonfat","946",270,0,0,0,5,180,54,0,53,12,465,0.36,0,0,NA
"93","Iced Latte with Skim Milk and Sugar ","Medium","Nonfat","709",200,0,0,0,5,135,41,0,40,9,348,0.27,0,0,NA
"94","Iced Latte with Skim Milk and Sugar ","Small","Nonfat","354",130,0,0,0,5,90,27,0,26,6,233,0.18,0,0,NA
"95","Iced Latte with Whole Milk ","Large","Whole","946",230,12,7,0,35,180,19,0,18,12,431,0.33,0,0,NA
"96","Iced Latte with Whole Milk ","Medium","Whole","709",170,9,5,0,25,135,14,0,13,9,322,0.25,0,0,NA
"97","Iced Latte with Whole Milk ","Small","Whole","354",120,6,3.5,0,20,90,9,0,9,6,216,0.17,0,0,NA
"98","Iced Latte with Whole Milk and Sugar ","Large","Whole","946",370,12,7,0,35,180,54,0,52,12,431,0.33,0,0,NA
"99","Iced Latte with Whole Milk and Sugar ","Medium","Whole","709",270,9,5,0,25,135,40,0,39,9,323,0.25,0,0,NA
"100","Iced Latte with Whole Milk and Sugar ","Small","Whole","354",180,6,3.5,0,20,90,27,0,26,6,216,0.17,0,0,NA
"101","Mocha Swirl Iced Latte with Skim Milk ","Large","Nonfat","946",340,1,0.5,0,5,210,70,2,64,14,476,0.37,2,0.11,NA
"102","Mocha Swirl Iced Latte with Skim Milk ","Medium","Nonfat","709",250,1,0.5,0,5,160,52,2,48,10,356,0.27,1,0.06,NA
"103","Mocha Swirl Iced Latte with Skim Milk ","Small","Nonfat","354",170,0.5,0,0,5,105,35,1,32,7,238,0.18,1,0.06,NA
"104","Mocha Swirl Iced Latte with Whole Milk ","Large","Whole","946",440,13,7,0,35,220,69,2,63,13,442,0.34,2,0.11,NA
"105","Mocha Swirl Iced Latte with Whole Milk ","Medium","Whole","709",330,10,6,0,25,160,52,2,47,10,330,0.25,1,0.06,NA
"106","Mocha Swirl Iced Latte with Whole Milk ","Small","Whole","354",220,6,3.5,0,20,110,35,1,32,7,221,0.17,1,0.06,NA
"107","Signature Caramel Craze Iced Latte with Skim Milk ","Large","Nonfat","946",430,6,3.5,0,30,250,79,0,75,16,586,0.45,0,0,NA
"108","Signature Caramel Craze Iced Latte with Skim Milk ","Medium","Nonfat","709",340,5,3,0,25,190,61,0,57,12,442,0.34,0,0,NA
"109","Signature Caramel Craze Iced Latte with Skim Milk ","Small","Nonfat","354",250,5,3,0,20,130,43,0,40,8,303,0.23,0,0,NA
"110","Signature Caramel Craze Iced Latte with Whole Milk ","Large","Whole","946",530,17,10,0.5,60,250,79,0,74,15,551,0.42,0,0,NA
"111","Signature Caramel Craze Iced Latte with Whole Milk ","Medium","Whole","709",410,14,8,0,45,190,61,0,57,11,416,0.32,0,0,NA
"112","Signature Caramel Craze Iced Latte with Whole Milk ","Small","Whole","354",300,11,6,0,35,130,43,0,39,8,285,0.22,0,0,NA
"113","Signature Cocoa Mocha Iced Latte with Skim Milk ","Large","Nonfat","946",420,6,4,0,25,220,78,2,69,15,495,0.38,2,0.11,NA
