NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CALCIUM_mg,CALCIUM_pcdv,IRON_mg,IRON_pcdv
French Vanilla Swirl Iced Latte with Whole Milk - Large,Large,NA,450,12,7,0,40,240,70,0,66,14,515,0.4,0,0
French Vanilla Swirl Iced Latte with Whole Milk - Medium,Medium,NA,330,9,5,0,30,180,52,0,50,11,385,0.3,0,0
French Vanilla Swirl Iced Latte with Whole Milk - Small,Small,NA,220,6,3.5,0,20,120,35,0,33,7,258,0.2,0,0
Hazelnut Swirl Iced Latte with Skim Milk - Large,Large,NA,350,0,0,0,10,240,71,0,67,15,549,0.42,0,0
Hazelnut Swirl Iced Latte with Skim Milk - Medium,Medium,NA,260,0,0,0,10,180,53,0,50,11,411,0.32,0,0
Hazelnut Swirl Iced Latte with Skim Milk - Small,Small,NA,170,0,0,0,5,120,35,0,33,7,275,0.21,0,0
Hazelnut Swirl Iced Latte with Whole Milk - Large,Large,NA,450,12,7,0,40,240,70,0,66,14,515,0.4,0,0
Hazelnut Swirl Iced Latte with Whole Milk - Medium,Medium,NA,340,9,5,0,30,180,53,0,50,11,385,0.3,0,0
Hazelnut Swirl Iced Latte with Whole Milk - Small,Small,NA,220,6,3.5,0,20,120,35,0,33,7,258,0.2,0,0
Iced Latte with AlmondMilk -Large,Large,NA,130,3.5,0,0,0,260,23,1,20,2,715,0.55,1,0.06
Iced Latte with AlmondMilk -Medium,Medium,NA,100,3,0,0,0,190,17,1,15,1,536,0.41,1,0.06
Iced Latte with AlmondMilk -Small,Small,NA,70,2,0,0,0,130,11,0,10,1,358,0.28,1,0.06
Iced Latte with Skim Milk - Large,Large,NA,130,0,0,0,5,180,20,0,18,12,465,0.36,0,0
Iced Latte with Skim Milk -Medium,Medium,NA,100,0,0,0,5,135,15,0,14,9,348,0.27,0,0
Iced Latte with Skim Milk - Small,Small,NA,70,0,0,0,5,90,10,0,9,6,233,0.18,0,0
Iced Latte with Skim Milk and Sugar - Large,Large,NA,270,0,0,0,5,180,54,0,53,12,465,0.36,0,0
Iced Latte with Skim Milk and Sugar - Medium,Medium,NA,200,0,0,0,5,135,41,0,40,9,348,0.27,0,0
Iced Latte with Skim Milk and Sugar - Small,Small,NA,130,0,0,0,5,90,27,0,26,6,233,0.18,0,0
Iced Latte with Whole Milk - Large,Large,NA,230,12,7,0,35,180,19,0,18,12,431,0.33,0,0
Iced Latte with Whole Milk -Medium,Medium,NA,170,9,5,0,25,135,14,0,13,9,322,0.25,0,0
Iced Latte with Whole Milk - Small,Small,NA,120,6,3.5,0,20,90,9,0,9,6,216,0.17,0,0
Iced Latte with Whole Milk and Sugar - Large,Large,NA,370,12,7,0,35,180,54,0,52,12,431,0.33,0,0
Iced Latte with Whole Milk and Sugar - Medium,Medium,NA,270,9,5,0,25,135,40,0,39,9,323,0.25,0,0
Iced Latte with Whole Milk and Sugar - Small,Small,NA,180,6,3.5,0,20,90,27,0,26,6,216,0.17,0,0
Mocha Swirl Iced Latte with Skim Milk - Large,Large,NA,340,1,0.5,0,5,210,70,2,64,14,476,0.37,2,0.11
