NAME,SIZE,MILK,SERVING_SIZE_ml,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CALCIUM_mg,CALCIUM_pcdv,IRON_mg,IRON_pcdv,CAFFEINE_mg,CALS,PRICE,CPD
Cappuccino,Large,Nonfat,591,90,0,0,0,5,115,13,0,12,8,300,0.23,0,0,252,80,2.69,93.6802974
Cappuccino,Large,Nonfat,591,90,0,0,0,5,115,13,0,12,8,300,0.23,0,0,252,120,3.19,78.9968652
Cappuccino,Large,Nonfat,591,90,0,0,0,5,115,13,0,12,8,300,0.23,0,0,252,160,3.59,70.19498607
Cappuccino,Medium,Nonfat,414,70,0,0,0,5,85,10,0,9,6,225,0.17,0,0,166,80,2.69,61.71003717
Cappuccino,Medium,Nonfat,414,70,0,0,0,5,85,10,0,9,6,225,0.17,0,0,166,120,3.19,52.03761755
Cappuccino,Medium,Nonfat,414,70,0,0,0,5,85,10,0,9,6,225,0.17,0,0,166,160,3.59,46.23955432
Cappuccino,Small,Nonfat,295,45,0,0,0,0,55,7,0,6,4,150,0.12,0,0,118,80,2.69,43.866171
Cappuccino,Small,Nonfat,295,45,0,0,0,0,55,7,0,6,4,150,0.12,0,0,118,120,3.19,36.99059561
Cappuccino,Small,Nonfat,295,45,0,0,0,0,55,7,0,6,4,150,0.12,0,0,118,160,3.59,32.86908078
Cappuccino,Large,Nonfat,591,230,0,0,0,5,115,48,0,47,8,301,0.23,0,0,252,80,2.69,93.6802974
Cappuccino,Large,Nonfat,591,230,0,0,0,5,115,48,0,47,8,301,0.23,0,0,252,120,3.19,78.9968652
Cappuccino,Large,Nonfat,591,230,0,0,0,5,115,48,0,47,8,301,0.23,0,0,252,160,3.59,70.19498607
Cappuccino,Medium,Nonfat,414,170,0,0,0,5,85,36,0,35,6,225,0.17,0,0,166,80,2.69,61.71003717
Cappuccino,Medium,Nonfat,414,170,0,0,0,5,85,36,0,35,6,225,0.17,0,0,166,120,3.19,52.03761755
Cappuccino,Medium,Nonfat,414,170,0,0,0,5,85,36,0,35,6,225,0.17,0,0,166,160,3.59,46.23955432
