NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CAFFEINE_mg,CALS,PRICE,CPD
Iced Caramel Latte,Large,Whole,230,6,3.5,0,15,150,40,0,40,6,178,330,3.19,55.79937304
Iced Hazelnut Latte,Small,Whole,160,3,1.5,0,10,45,31,0,31,3,71,170,2,35.5
Iced Hazelnut Latte,Small,Whole,160,3,1.5,0,10,45,31,0,31,3,71,200,2.79,25.44802867
Iced Hazelnut Latte,Small,Whole,160,3,1.5,0,10,45,31,0,31,3,71,310,3.19,22.25705329
Iced Hazelnut Latte,Medium,Whole,180,4.5,2.5,0,15,65,33,0,33,4,142,170,2,71
Iced Hazelnut Latte,Medium,Whole,180,4.5,2.5,0,15,65,33,0,33,4,142,200,2.79,50.89605735
Iced Hazelnut Latte,Medium,Whole,180,4.5,2.5,0,15,65,33,0,33,4,142,310,3.19,44.51410658
Iced Hazelnut Latte,Large,Whole,230,6,3.5,0,15,85,41,0,41,6,178,170,2,89
Iced Hazelnut Latte,Large,Whole,230,6,3.5,0,15,85,41,0,41,6,178,200,2.79,63.79928315
Iced Hazelnut Latte,Large,Whole,230,6,3.5,0,15,85,41,0,41,6,178,310,3.19,55.79937304
Iced Mocha,Medium,Whole,310,13,8,0,25,140,42,0,35,7,167,280,2,83.5
Iced Mocha,Medium,Whole,310,13,8,0,25,140,42,0,35,7,167,330,2.99,55.85284281
Iced Mocha,Medium,Whole,310,13,8,0,25,140,42,0,35,7,167,460,3.39,49.26253687
Caramel Mocha,Large,Whole,360,14,8,0.5,35,220,47,0,46,10,200,280,2,100
Caramel Mocha,Large,Whole,360,14,8,0.5,35,220,47,0,46,10,200,330,2.99,66.88963211
Caramel Mocha,Large,Whole,360,14,8,0.5,35,220,47,0,46,10,200,420,3.39,58.99705015
Caramel Mocha,Medium,Whole,290,12,7,0,25,180,39,0,38,8,167,280,2,83.5
Caramel Mocha,Medium,Whole,290,12,7,0,25,180,39,0,38,8,167,330,2.99,55.85284281
Caramel Mocha,Medium,Whole,290,12,7,0,25,180,39,0,38,8,167,420,3.39,49.26253687
Caramel Mocha,Small,Whole,250,11,6,0,25,150,33,0,31,7,86,280,2,43
Caramel Mocha,Small,Whole,250,11,6,0,25,150,33,0,31,7,86,330,2.99,28.76254181
Caramel Mocha,Small,Whole,250,11,6,0,25,150,33,0,31,7,86,420,3.39,25.36873156
Iced Caramel Mocha,Large,Whole,380,16,9,0.5,35,210,48,0,46,10,200,230,2,100
Iced Caramel Mocha,Large,Whole,380,16,9,0.5,35,210,48,0,46,10,200,300,2.99,66.88963211
Iced Caramel Mocha,Large,Whole,380,16,9,0.5,35,210,48,0,46,10,200,410,3.39,58.99705015
Iced Caramel Mocha,Medium,Whole,300,14,8,0,30,160,36,0,33,8,167,230,2,83.5
Iced Caramel Mocha,Medium,Whole,300,14,8,0,30,160,36,0,33,8,167,300,2.99,55.85284281
Iced Caramel Mocha,Medium,Whole,300,14,8,0,30,160,36,0,33,8,167,410,3.39,49.26253687
Iced Caramel Mocha,Small,Whole,240,12,7,0,25,130,29,0,26,6,86,230,2,43
Iced Caramel Mocha,Small,Whole,240,12,7,0,25,130,29,0,26,6,86,300,2.99,28.76254181
Iced Caramel Mocha,Small,Whole,240,12,7,0,25,130,29,0,26,6,86,410,3.39,25.36873156
